model,tier,total,correct,accuracy,avg_score,total_cost_usd,cost_per_correct_usd
claude-opus-4,1,30,30,1.0,3.0,0.257295,0.008576
claude-opus-4,2,30,30,1.0,3.0,0.304875,0.010162
claude-opus-4,3,30,18,0.6,2.6,0.28125,0.015625
claude-opus-4,4,30,18,0.6,2.6,0.369225,0.020512
claude-opus-4,5,30,12,0.4,2.4,0.40122,0.033435
claude-opus-4.6,1,30,30,1.0,3.0,0.25677,0.008559
claude-opus-4.6,2,30,30,1.0,3.0,0.304275,0.010143
claude-opus-4.6,3,30,18,0.6,2.6,0.27945,0.015525
claude-opus-4.6,4,30,18,0.6,2.6,0.369675,0.020538
claude-opus-4.6,5,30,12,0.4,2.4,0.410895,0.034241
claude-sonnet-4.5,1,30,30,1.0,3.0,0.053154,0.001772
claude-sonnet-4.5,2,30,24,0.8,2.8,0.060885,0.002537
claude-sonnet-4.5,3,30,18,0.6,2.6,0.058155,0.003231
claude-sonnet-4.5,4,30,12,0.4,2.4,0.079815,0.006651
claude-sonnet-4.5,5,30,9,0.3,2.3,0.077514,0.008613
deepseek-v3.2,1,30,30,1.0,3.0,0.003722,0.000124
deepseek-v3.2,2,30,24,0.8,2.73,0.004155,0.000173
deepseek-v3.2,3,30,16,0.5333,2.43,0.003769,0.000236
deepseek-v3.2,4,30,15,0.5,2.5,0.006072,0.000405
deepseek-v3.2,5,30,6,0.2,2.03,0.00507,0.000845
gemini-3-flash,1,30,30,1.0,3.0,0.002316,7.7e-05
gemini-3-flash,2,30,27,0.9,2.9,0.002644,9.8e-05
gemini-3-flash,3,30,17,0.5667,2.5,0.002194,0.000129
gemini-3-flash,4,30,10,0.3333,2.33,0.00297,0.000297
gemini-3-flash,5,30,6,0.2,2.1,0.003441,0.000573
gpt-5.2,1,30,30,1.0,3.0,0.032216,0.001074
gpt-5.2,2,30,28,0.9333,2.93,0.032876,0.001174
gpt-5.2,3,30,10,0.3333,2.33,0.031014,0.003101
gpt-5.2,4,30,15,0.5,2.47,0.042082,0.002805
gpt-5.2,5,30,8,0.2667,1.97,0.049602,0.0062
kimi-k2.5,1,30,30,1.0,3.0,0.036869,0.001229
kimi-k2.5,2,30,28,0.9333,2.93,0.05326,0.001902
kimi-k2.5,3,30,16,0.5333,2.5,0.053653,0.003353
kimi-k2.5,4,30,13,0.4333,2.37,0.10928,0.008406
kimi-k2.5,5,30,9,0.3,2.23,0.122132,0.01357
minimax-m2.5,1,30,30,1.0,3.0,0.012352,0.000412
minimax-m2.5,2,30,28,0.9333,2.93,0.015523,0.000554
minimax-m2.5,3,30,18,0.6,2.6,0.018898,0.00105
minimax-m2.5,4,30,12,0.4,2.4,0.020403,0.0017
minimax-m2.5,5,30,4,0.1333,1.73,0.03276,0.00819
